   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.000    0.000 __init__.py:685(<lambda>)
       17    0.000    0.000    0.000    0.000 __init__.py:689(<lambda>)
       14    0.000    0.000    0.000    0.000 __init__.py:691(<lambda>)
        2    0.000    0.000    0.000    0.000 __init__.py:7(<module>)
      130    0.000    0.000    0.000    0.000 __init__.py:701(__iter__)
       34    0.000    0.000    0.016    0.000 __init__.py:703(return_sort_name)
        3    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
      337    0.001    0.000    0.003    0.000 __init__.py:718(add)
        1    0.000    0.000    0.000    0.000 __init__.py:73(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:74(LazyImporter)
       19    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
       24    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        2    0.000    0.000    0.000    0.000 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:810(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:881(FileHandler)
        1    0.000    0.000    0.085    0.085 __init__.py:9(<module>)
       17    0.000    0.000    0.000    0.000 __init__.py:91(post_slash)
        1    0.000    0.000    0.000    0.000 __init__.py:92(PEP440Warning)
        1    0.000    0.000    0.010    0.010 __init__.py:928(subscribe)
      129    0.000    0.000    0.000    0.000 __init__.py:936(_added_new)
        1    0.000    0.000    0.000    0.000 __init__.py:946(PlaceHolder)
        3    0.000    0.000    0.000    0.000 __init__.py:952(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:954(Environment)
       14    0.000    0.000    0.000    0.000 __init__.py:959(append)
        1    0.000    0.000    0.000    0.000 __init__.py:99(_SetuptoolsVersionMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:993(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:998(__init__)
       64    0.000    0.000    0.001    0.000 _abcoll.py:526(update)
       16    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _baseprocess.py:19(BaseProcess)
        1    0.000    0.000    0.000    0.000 _baseprocess.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
      285    0.000    0.000    0.000    0.000 _binary.py:15(i8)
      168    0.000    0.000    0.000    0.000 _binary.py:18(o8)
        6    0.000    0.000    0.000    0.000 _binary.py:51(i16be)
       67    0.000    0.000    0.000    0.000 _binary.py:55(i32be)
       40    0.000    0.000    0.000    0.000 _binary.py:69(o16be)
       22    0.000    0.000    0.000    0.000 _binary.py:73(o32be)
        1    0.000    0.000    0.000    0.000 _compat.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:102(metaclass)
        2    0.000    0.000    0.000    0.000 _compat.py:105(__new__)
        1    0.000    0.000    0.000    0.000 _compat.py:12(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:122(_C)
        1    0.000    0.000    0.000    0.000 _compat.py:124(_func)
        1    0.000    0.000    0.000    0.000 _compat.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:15(<module>)
        2    0.000    0.000    0.000    0.000 _compat.py:21(_u)
       10    0.000    0.000    0.000    0.000 _compat.py:24(_normalize_name)
        1    0.000    0.000    0.000    0.000 _compat.py:30(with_metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:37(metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:38(__new__)
      603    0.000    0.000    0.000    0.000 _compat.py:57(<lambda>)
        5    0.000    0.000    0.000    0.000 _compat.py:68(implements_iterator)
        6    0.000    0.000    0.000    0.000 _compat.py:73(implements_to_string)
        6    0.000    0.000    0.000    0.000 _compat.py:80(encode_filename)
        1    0.000    0.000    0.000    0.000 _compat.py:92(with_metaclass)
        1    0.000    0.000    0.000    0.000 _digest.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _element.py:125(Element)
        1    0.000    0.000    0.000    0.000 _element.py:13(Expose)
        1    0.000    0.000    0.000    0.000 _element.py:25(__init__)
       11    0.000    0.000    0.000    0.000 _element.py:29(__call__)
        1    0.000    0.000    0.000    0.000 _element.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _element.py:85(_withDocumentation)
        1    0.000    0.000    0.000    0.000 _endian.py:26(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:49(BigEndianStructure)
